Horodateur,Country,DeploymentID,old_deploymentID,Cluster,Site,Active,deploymentBeginDate,deploymentBeginTime,deploymentEndDate,deploymentEndTime,Latitude,Longitude,Coordinates_uncertainty,GPS_device,DeviceID,Microphone_height,Microphone_direction,12. Habitat,Adresse e-mail,Comments,Score
10/03/2025 15:53:54,France,20250310_FR_1_688a86aa,FR_1_688a86aa,Hyères - Vieux Salins,Center,TRUE,10/03/2025,08:45:00,,,43.12253,6.208296,1,Samsung galaxy A13 with google maps,688a86aa,100,South,Salins,corentin.bernard@lis-lab.fr,was recorded by be719bc8 before 2025/05/07 ,
10/03/2025 16:24:46,France,20250310_FR_2_6b3c38e6,FR_2_6b3c38e6,Hyères - Vieux Salins,East,TRUE,10/03/2025,09:30:00,,,43.115660,6.229212,1,Samsung Galaxy A13 with google maps,6b3c38e6,100,South,Salins,corentin.bernard@lis-lab.fr,was recorded by e9e2754 before 2025/05/07 ,
10/03/2025 16:57:48,France,20250310_FR_3_c1405178,FR_3_c1405178,Hyères - Vieux Salins,West,TRUE,10/03/2025,10:20:00,,,43.120335,6.195294,1,Samsung Galaxy A13 with google maps,c1405178,100,South,Salins,corentin.bernard@lis-lab.fr,was recorded by d396add6 before 2025/05/07 ,
07/05/2025 15:14:03,France,20250514_FR_4_39645e17,FR_4_39645e17,Hyères - Salins des Pesquiers,North,TRUE,14/05/2025,11:30:00,,,43.070475,6.1348930,1,Samsung galaxy A13 with google maps,39645e17,100,East,Salins,corentin.bernard@lis-lab.fr,first deployement with 25ded907 did not work,
07/05/2025 15:18:04,France,20250507_FR_5_3331e641,FR_5_3331e641,Hyères - Salins des Pesquiers,South,TRUE,07/05/2025,10:30:00,,,43.055659,6.141110,1,Samsung galaxy A13 with google maps,3331e641,100,East,Salins,corentin.bernard@lis-lab.fr,,
28/05/2025 19:34:09,France,20250528_FR_6_cc187286,FR_6_cc187286,Port-Cros,Palud,TRUE,28/05/2025,08:45:00,,,43.0120423,6.3932500,1,Samsung Galaxy A13 with google maps,cc187286,200,South-West,Forest,corentin.bernard@lis-lab.fr,Forestier near the sea,
28/05/2025 19:49:15,France,20250528_FR_7_5b05fe12,FR_7_5b05fe12,Port-Cros,Manoir,TRUE,28/05/2025,10:00:00,,,43.0063909,6.3824102,1,Samsung galaxy A13 with google maps,5b05fe12,400,South,Forest,corentin.bernard@lis-lab.fr,Forest near reed bed and sea,
04/06/2025 11:31:22,France,20250603_FR_8_b62a0387,FR_8_b62a0387,Porquerolles,Lagunes,TRUE,03/06/2025,12:45:00,,,42.988746,6.202452,1,samsung galaxy A13 with google maps,b62a0387,260,South,Wetland,corentin.bernard@lis-lab.fr,Bad connection. Close to a bird ringing in the summer that uses playback. The precise date and time of playback will be transmitted.,
04/06/2025 11:37:23,France,20250603_FR_9_22858ce8,FR_9_22858ce8,Porquerolles,Oustaou,TRUE,03/06/2025,09:00:00,,,42.994034,6.219719,5,Samsung galaxy A13,22858ce8,200,South,Forest,corentin.bernard@lis-lab.fr,Close to a bird ringing in the summer that uses playback. The precise date and time of playback will be transmitted.,
11/06/2025 19:29:29,France,20250611_FR_10_e9e2754,FR_10_e9e2754,Cap Lardier,Prairies,TRUE,11/06/2025,09:45:00,,,43.1800114,6.6076363,1,Samsung Galaxy A13 with Google maps,e9e2754,200,South,Forest,corentin.bernard@lis-lab.fr,,
11/06/2025 19:36:09,France,20250611_FR_11_d396add6,FR_11_d396add6,Cap Lardier,Gâche,TRUE,11/06/2025,11:00:00,,,43.1841245,6.6135187,5,Samsung Galaxy A13,d396add6,300,West,Forest,corentin.bernard@lis-lab.fr,,
11/06/2025 19:41:27,France,20250611_FR_12_adf57530,FR_12_adf57530,Cap Lardier,Octopus,TRUE,11/06/2025,12:30:00,,,43.1717764,6.6254891,5,Samsung Galaxy A13,adf57530,200,South-West,Forest,corentin.bernard@lis-lab.fr,,
30/01/2025 12:46:03,Netherlands,20250130_NL_1_8f06b854,NL_1_8f06b854,Amsterdamse Waterleidingduinen,van Limburg Stirumvallei X14,TRUE,30/01/2025,11:31:00,,,52.3066593,4.4883522,1,Samsung Galaxy S23fe with Google Maps,8f06b854,100,East,Scrubland,cynthia.barile94@gmail.com,60W solar panel - big pond close by,
06/02/2025 12:26:19,Netherlands,20250206_NL_10_30d19c18,NL_10_30d19c18,Hoge Veluwe,Noordoostelijk van Schaarsbergen X2,TRUE,06/02/2025,11:23:00,,,52.0381254,5.8432007,1,Samsung Galaxy S24 with Google Maps,30d19c18,100,East,Forest,cynthia.barile94@gmail.com,,
06/02/2025 15:31:04,Netherlands,20250206_NL_11_63c64349,NL_11_63c64349,Hoge Veluwe,Noordoostelijk van Schaarsbergen X3,TRUE,06/02/2025,14:15:00,,,52.041848,5.8409054,1,Honour Pro 90 with Google Maps ,63c64349,100,East,Forest,cynthia.barile94@gmail.com,bad 4G connection ,
17/02/2025 10:52:05,Netherlands,20250217_NL_12_498873b2,NL_12_498873b2,Oostvaardersplassen,Drempel D4,FALSE,17/02/2025,09:40:00,25/02/2025,11:15:00,52.452480,5.358942,1,Honour Pro 90 with Google Maps ,498873b2,100,North,Wetland,cynthia.barile94@gmail.com,Reedbed,
25/02/2025 12:21:09,Netherlands,20250225_NL_12_498873b2,NL_12b_498873b2,Oostvaardersplassen,Drempel D4,TRUE,25/02/2025,11:20:00,,,52.452480,5.358942,1,Honour Pro 90 with Google Maps ,498873b2,187,North,Wetland,cynthia.barile94@gmail.com,Adjusted height NL_12,
17/02/2025 11:31:06,Netherlands,20250217_NL_13_d593cb78,NL_13_d593cb78,Oostvaardersplassen,Drempel D3,FALSE,17/02/2025,10:20:00,25/02/2025,11:25:00,52.460550,5.360052,1,Honour Pro 90 with Google Maps ,d593cb78,102,North,Wetland,cynthia.barile94@gmail.com,Reedbed,
25/02/2025 12:41:21,Netherlands,20250225_NL_13_d593cb78,NL_13b_d593cb78,Oostvaardersplassen,Drempel D3,TRUE,25/02/2025,11:34:00,,,52.460550,5.360052,1,Honour Pro 90 with Google Maps ,d593cb78,197,North-East,Wetland,cynthia.barile94@gmail.com,Adjusted height NL_13,
17/02/2025 13:11:59,Netherlands,20250217_NL_14_f0dc521c,NL_14_f0dc521c,Oostvaardersplassen,Drempel D2,FALSE,17/02/2025,12:08:00,25/02/2025,13:10:00,52.4664742,5.3519230,1,Honour Pro 90 with Google Maps ,f0dc521c,103,North-East,Wetland,cynthia.barile94@gmail.com,Reedbed,
25/02/2025 14:19:56,Netherlands,20250225_NL_14_f0dc521c,NL_14b_f0dc521c,Oostvaardersplassen,Drempel D2,TRUE,25/02/2025,13:15:00,,,52.466460,5.351988,1,Honour Pro 90 with Google Maps ,f0dc521c,199,North-East,Wetland,cynthia.barile94@gmail.com,Adjusted height NL_14,
25/02/2025 13:45:46,Netherlands,20250225_NL_15_d7a35b3c,NL_15_d7a35b3c,Oostvaardersplassen,Drempel D1,TRUE,25/02/2025,12:35:00,,,52.473960,5.356294,1,Honour Pro 90 with Google Maps ,d7a35b3c,188,South,Wetland,cynthia.barile94@gmail.com,50W solar panel,
01/04/2025 14:46:14,Netherlands,20250401_NL_16_9d07fc31,NL_16_9d07fc31,Onlanden,Onlanden (1),TRUE,01/04/2025,12:24:00,,,53.1764804,6.5239098,1,Honour Pro 90 with Google Maps ,9d07fc31,120,North,Wetland,cynthia.barile94@gmail.com,50W solar panel,
01/04/2025 15:33:11,Netherlands,20250401_NL_17_3a46c646,NL_17_3a46c646,Onlanden,Onlanden (2),TRUE,01/04/2025,13:20:00,,,53.181012,6.516056,1,Honour pro 90 with Google Maps ,3a46c646,132,North-East,Wetland,cynthia.barile94@gmail.com,50W solar panel,
01/04/2025 18:10:48,Netherlands,20250401_NL_18_6383061a,NL_18_6383061a,Onlanden,Onlanden (3),TRUE,01/04/2025,15:16:00,,,53.175340,6.533496,1,Honour pro 90 with Google Maps ,6383061a,132,South-West,Wetland,cynthia.barile94@gmail.com,50W solar panel ,
30/01/2025 14:04:55,Netherlands,20250130_NL_2_6174ecbe,NL_2_6174ecbe,Amsterdamse Waterleidingduinen,Zilkerpad X9,TRUE,30/01/2025,13:02:00,,,52.32340,4.504547,1,Samsung Galaxy S23fe with Google Maps,6174ecbe,100,East,Scrubland,cynthia.barile94@gmail.com,60W solar panel. Near path. ,
30/01/2025 14:58:50,Netherlands,20250130_NL_3_de594337,NL_3_de594337,Amsterdamse Waterleidingduinen,Zeeveld Zuid X5,FALSE,30/01/2025,13:54:00,26/02/2025,08:15:00,52.337140,4.509173,1,Samsung Galaxy S23fe with Google Maps,de594337,100,East,Scrubland,cynthia.barile94@gmail.com,no 4G,
26/02/2025 09:49:20,Netherlands,20250226_NL_3_de594337,NL_3b_de594337,Amsterdamse Waterleidingduinen,Zeeveld Zuid X5,TRUE,26/02/2025,08:25:00,,,52.337250,4.510217,1,Honour Pro 90 with Google Maps ,de594337,105,East,Scrubland,cynthia.barile94@gmail.com,50W solar panel - changed location in exclosure for better 4G,
30/01/2025 16:06:41,Netherlands,20250130_NL_4_9a2290fc,NL_4_9a2290fc,Amsterdamse Waterleidingduinen,Zeeveld Nord X1,TRUE,30/01/2025,15:05:00,,,52.355970,4.520103,1,Samsung Galaxy S23fe with Google Maps ,9a2290fc,100,East,Scrubland,cynthia.barile94@gmail.com,,
04/02/2025 12:12:05,Netherlands,20250204_NL_5_cfc291d3,NL_5_cfc291d3,Loenderveen,Waterleidingplas D4,TRUE,04/02/2025,11:13:00,,,52.218400,5.045022,1,Honour Pro 90 with Google Maps ,cfc291d3,94,North-West,Wetland,cynthia.barile94@gmail.com,close to the water,
26/02/2025 15:07:05,Netherlands,20250226_NL_5_cfc291d3,NL_5b_cfc291d3,Loenderveen,Waterleidingplas D4,TRUE,26/02/2025,14:00:00,,,52.218400,5.045022,1,Honour Pro 90 with Google Maps ,cfc291d3,96,South,Wetland,cynthia.barile94@gmail.com,Changed direction NL_5,
