projectid,plotid,naam,bzdid,datum,begintijd,eindtijd,bezoekduur,aantal_minuten,gunstig,omst_opm,opm,waarnemerid,jaar,doy,nsoort,nrecord
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4083119,24-Mar,06:30:00,12:15:00,05:45:00,345,,,,34701,2025,83,22,111
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4087718,07-Apr,06:40:00,12:30:00,05:50:00,350,TRUE,,,34701,2025,97,22,146
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4093554,22-Apr,06:00:00,12:00:00,06:00:00,360,TRUE,,,34701,2025,112,21,158
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4102563,06-May,05:30:00,11:30:00,06:00:00,360,TRUE,,,34701,2025,126,23,130
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4108020,21-May,05:15:00,11:30:00,06:15:00,375,TRUE,,,34701,2025,141,29,139
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4109222,24-May,22:15:00,23:30:00,01:15:00,75,TRUE,,,34701,2025,144,5,8
252,14784,"De Onlanden, P8, Drentse Dijk Oost",4112770,02-Jun,05:15:00,10:30:00,05:15:00,315,TRUE,,,34701,2025,153,26,118
252,14885,AWD 2e Infiltr-noord,4075666,02-Mar,07:15:00,09:39:00,02:24:00,144,,,mist,16005,2025,61,26,56
252,14885,AWD 2e Infiltr-noord,4078125,16-Mar,06:56:00,10:40:00,03:44:00,224,,,"onbewolkt windstil, later no 2. Temp 0-6 graden.",16005,2025,75,37,105
252,14885,AWD 2e Infiltr-noord,4081977,29-Mar,05:23:00,09:35:00,04:12:00,252,,,,16005,2025,88,39,187
252,14885,AWD 2e Infiltr-noord,4088680,12-Apr,05:43:00,09:43:00,04:00:00,240,,,start telling windstil volle maan,16005,2025,102,57,221
252,14885,AWD 2e Infiltr-noord,4096138,27-Apr,05:18:00,09:35:00,04:17:00,257,,,,16005,2025,117,48,197
252,14885,AWD 2e Infiltr-noord,4100277,05-May,05:10:00,09:42:00,04:32:00,272,,,,16005,2025,125,39,187
252,14885,AWD 2e Infiltr-noord,4106473,18-May,05:18:00,08:18:00,03:00:00,180,,,,16005,2025,138,37,171
252,14885,AWD 2e Infiltr-noord,4111222,30-May,21:55:00,23:09:00,01:14:00,74,,,avond-nachttelling,16005,2025,150,15,28
252,14885,AWD 2e Infiltr-noord,4111842,01-Jun,04:57:00,08:58:00,04:01:00,241,,,,16005,2025,152,39,164
252,14885,AWD 2e Infiltr-noord,4111843,01-Jun,09:02:00,09:02:00,00:00:00,0,,,,16005,2025,152,1,1
252,14885,AWD 2e Infiltr-noord,4117680,15-Jun,04:41:00,07:38:00,02:57:00,177,,,,16005,2025,166,36,117
252,14885,AWD 2e Infiltr-noord,4117681,15-Jun,04:41:00,07:38:00,02:57:00,177,,,,16005,2025,166,36,117
252,17081,AWD Boeveld-west,4080228,23-Mar,08:13:00,10:29:00,02:16:24,136.4,,,"voor het eerst geen damhert gezien, ook niet buiten het kavel",34778,2025,82,18,49
252,17081,AWD Boeveld-west,4083188,02-Apr,06:43:00,09:05:00,02:22:29,142.4833333,,,,34778,2025,92,10,40
252,17081,AWD Boeveld-west,4088688,12-Apr,06:52:00,09:53:00,03:01:06,181.1,,,,34778,2025,102,18,78
252,17081,AWD Boeveld-west,4091002,17-Apr,06:38:00,09:01:00,02:22:30,142.5,,,"Reserve, dicht op vorige telling, in juni maar weer puzzelen",34778,2025,107,21,66
252,17081,AWD Boeveld-west,4093903,23-Apr,06:55:00,09:38:00,02:43:31,163.5166667,,,,34778,2025,113,19,63
252,17081,AWD Boeveld-west,4098728,02-May,06:16:00,09:46:00,03:30:09,210.15,,,,34778,2025,122,19,59
252,17081,AWD Boeveld-west,4103520,11-May,05:47:00,10:11:00,04:24:47,264.7833333,,,,34778,2025,131,27,88
252,17081,AWD Boeveld-west,4106756,19-May,05:44:00,08:29:00,02:44:49,164.8166667,,,,34778,2025,139,24,66
252,17081,AWD Boeveld-west,4110561,29-May,07:34:00,10:00:00,02:25:38,145.6333333,,,"(mot)regen, ook wel droge perioden. Paar tapuit ws vertrokken",34778,2025,149,22,57
252,17081,AWD Boeveld-west,4113783,04-Jun,07:34:00,12:07:00,04:33:18,273.3,,,"13 graden, bries ZW, droog",34778,2025,155,23,63
252,17364,AWD Wolfsveld-west,4080813,20-Mar,07:30:00,10:15:00,02:45:00,165,TRUE,,"onbewolkt, 5 graden, wind zuid kr.1",21041,2025,79,15,37
252,17364,AWD Wolfsveld-west,4082756,27-Mar,07:30:00,10:00:00,02:30:00,150,TRUE,,"onbewolkt, 2 graden, wind ZZO",21041,2025,86,14,39
252,17364,AWD Wolfsveld-west,4087295,03-Apr,07:30:00,10:00:00,02:30:00,150,,,"onbewolkt, temp. 5 graden, wind oost 3",21041,2025,93,12,38
252,17364,AWD Wolfsveld-west,4090877,10-Apr,07:30:00,10:00:00,02:30:00,150,TRUE,,"bewolkt,7 graden, wind N.4",21041,2025,100,16,47
252,17364,AWD Wolfsveld-west,4098044,17-Apr,07:30:00,10:00:00,02:30:00,150,TRUE,,"Bewolkt, droog, 10 graden",21041,2025,107,17,53
252,17364,AWD Wolfsveld-west,4101624,01-May,07:00:00,10:00:00,03:00:00,180,,,"onbewolkt, 10 graden, Wind 0",21041,2025,121,20,55
252,17364,AWD Wolfsveld-west,4101856,08-May,07:01:00,10:02:00,03:01:00,181,,,,45859,2025,128,20,77
252,17364,AWD Wolfsveld-west,4105289,15-May,07:03:00,09:16:00,02:13:00,133,,,"wind n4
temp 11 graden",45859,2025,135,15,53
252,17364,AWD Wolfsveld-west,4108007,22-May,07:14:00,09:02:00,01:48:00,108,,,"wind nu 3
half bewolkt
10 graden",45859,2025,142,15,41
252,17824,"De Onlanden, P4, Peizerwering",4084096,27-Mar,06:25:00,09:01:00,02:35:56,155.9333333,,,,24824,2025,86,20,106
252,17824,"De Onlanden, P4, Peizerwering",4088761,09-Apr,06:31:00,08:55:00,02:24:12,144.2,,,,24824,2025,99,18,161
252,17824,"De Onlanden, P4, Peizerwering",4089755,05-Mar,11:11:00,12:57:00,01:46:25,106.4166667,,,,39504,2025,64,9,63
252,17824,"De Onlanden, P4, Peizerwering",4097613,29-Apr,19:10:00,21:25:00,02:14:49,134.8166667,,,,24824,2025,119,18,65
252,17824,"De Onlanden, P4, Peizerwering",4107162,20-May,05:11:00,08:28:00,03:17:12,197.2,,,,24824,2025,140,27,101
252,17824,"De Onlanden, P4, Peizerwering",4116677,11-Jun,11:50:00,12:40:00,00:50:18,50.3,,,,24824,2025,162,8,16
252,18556,"De Onlanden, P7, Weeringsbroeken",4079477,21-Mar,06:30:00,10:40:00,04:10:00,250,TRUE,,,25206,2025,80,14,56
252,18556,"De Onlanden, P7, Weeringsbroeken",4083896,03-Apr,06:45:00,09:40:00,02:55:00,175,TRUE,,,25206,2025,93,15,58
252,18556,"De Onlanden, P7, Weeringsbroeken",4090610,16-Apr,06:15:00,09:30:00,03:15:00,195,TRUE,,,25206,2025,106,22,124
252,18556,"De Onlanden, P7, Weeringsbroeken",4093307,22-Apr,12:00:00,12:05:00,00:05:00,5,TRUE,,,25206,2025,112,2,3
